ma,ten,linhVuc,status,publishable,active_date,repeal_date,name_source,legacy_match,name_similarity,phi_dia_gioi,formalityId,decision_numbers,article_url,attachment_url,reason
1.000280,Công nhận trường tiểu học đạt Sở Giáo dục,GIÁO DỤC VÀ ĐÀO TẠO,repealed_by_official_city_decision,False,,2026-09-03,official_city_decision_pdf,True,,False,,3509/QĐ-UBND,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3509-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958459,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3509-gd639240505714779683.pdf,Bị bãi bỏ theo 3509/QĐ-UBND
1.000288,Công nhận trường m ầm non đạt chuẩn Quốc gia Thông tư số 57/2026/TT-BGDĐT ngày 07/07/2026 của B ộ trưởng B ộ Giáo d ục và Đào tạo quy định về bảo đảm chất lượng giáo d ục đối Sở Giáo dục và Đào tạo,GIÁO DỤC VÀ ĐÀO TẠO,repealed_by_official_city_decision,False,,2026-09-03,official_city_decision_pdf,True,,False,,3509/QĐ-UBND,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3509-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958459,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3509-gd639240505714779683.pdf,Bị bãi bỏ theo 3509/QĐ-UBND
1.000302,"Cấp, cấp lại Giấy phép vận tải đường bộ",ĐƯỜNG BỘ,official_city_decision_commune_reception,True,2026-09-03,,official_city_decision_pdf,False,,False,,3508/QĐ-UBND,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,
1.000321,"Đăng ký khai thác tuyến, bổ sung hoặc thay thế phương tiện khai thác tuyến vận tải hành khách cố định giữa Việt Nam và Campuchia",ĐƯỜNG BỘ,official_city_decision_commune_reception,True,2026-09-03,,dvcqg_name_by_code_verified,False,,False,,3508/QĐ-UBND,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3508-qd-ubnd-ngay-03-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-958460,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3508-xd639240506704881699.pdf,
1.000419,Thủ tục đăng ký khai tử lưu động,HỘ TỊCH,official_commune_evidence_no_later_repeal_in_snapshot,True,2025-12-07,,official_attachment_snippet,True,0.857,True,,,https://vinhbao.haiphong.gov.vn/linh-vuc-tu-phap/danh-muc-thu-tuc-hanh-chinh-thuc-hien-khong-phu-thuoc-vao-dia-gioi-hanh-chinh-trong-pham-vi-than-827521,https://cdn.haiphong.gov.vn/gov-hpg/6874/tintuc/2025/12/phu-luc.signed-1-639007020695231661.pdf,
1.000421,"Thủ tục Cấp sửa đổi, bổ sung, cấp lại Giấy phép quá cảnh",XUẤT NHẬP KHẨU,official_city_decision_commune_reception,True,2026-09-08,,official_city_decision_pdf,False,,False,,3584/QĐ-UBND,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3584-qd-ubnd-ngay-08-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-961695,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3548-ct639245592166822661.pdf,
1.000464,Gia hạn Giấy phép hoạt động cho thuê lại lao động,NỘI VỤ,official_commune_evidence_no_later_repeal_in_snapshot,True,2026-05-07,,official_attachment_snippet,False,,False,,458/QĐ-BNV,https://vinhbao.haiphong.gov.vn/linh-vuc-noi-vu/danh-muc-thu-tuc-hanh-chinh-moi-ban-hanh-duoc-sua-doi-bo-sung-va-bi-bai-bo-thuoc-pham-vi-chuc-na-895721,https://cdn.haiphong.gov.vn/gov-hpg/6874/tintuc/2026/5/quyet-dinh-2026-cong-bo-dmtthc-so-noi-vu-ttr332-qdbnv-458-..signed639137660255387575.pdf,
1.000477,"Thủ tục cấp Giấy phép quá cảnh hàng hóa cấm xuất khẩu, cấm nhập khẩu; hàng hóa tạm ngừng xuất khẩu, tạm ngừng nhập khẩu; hàng hóa cấm kinh doanh theo quy định pháp luật",XUẤT NHẬP KHẨU,official_city_decision_commune_reception,True,2026-09-08,,official_city_decision_pdf,False,,False,,3584/QĐ-UBND,https://namsach.haiphong.gov.vn/cong-khai-danh-muc-thu-tuc-hanh-chinh/cong-khai-quyet-dinh-so-3584-qd-ubnd-ngay-08-9-2026-cua-ubnd-thanh-pho-hai-phong-ve-viec-cong-bo-961695,https://cdn.haiphong.gov.vn/gov-hpg/6833/tintuc/2026/9/qd-3548-ct639245592166822661.pdf,
1.000479,Cấp Giấy phép hoạt động cho thuê lại lao động,NỘI VỤ,official_commune_evidence_no_later_repeal_in_snapshot,True,2026-05-07,,official_attachment_snippet,False,,False,,458/QĐ-BNV,https://vinhbao.haiphong.gov.vn/linh-vuc-noi-vu/danh-muc-thu-tuc-hanh-chinh-moi-ban-hanh-duoc-sua-doi-bo-sung-va-bi-bai-bo-thuoc-pham-vi-chuc-na-895721,https://cdn.haiphong.gov.vn/gov-hpg/6874/tintuc/2026/5/quyet-dinh-2026-cong-bo-dmtthc-so-noi-vu-ttr332-qdbnv-458-..signed639137660255387575.pdf,
1.000593,Thủ tục đăng ký kết hôn lưu động,HỘ TỊCH,official_commune_evidence_no_later_repeal_in_snapshot,True,2025-12-07,,official_attachment_snippet,True,0.857,True,019d2bfd-382c-774c-bca0-e30c261d7be4,,https://vinhbao.haiphong.gov.vn/linh-vuc-tu-phap/danh-muc-thu-tuc-hanh-chinh-thuc-hien-khong-phu-thuoc-vao-dia-gioi-hanh-chinh-trong-pham-vi-than-827521,https://cdn.haiphong.gov.vn/gov-hpg/6874/tintuc/2025/12/phu-luc.signed-1-639007020695231661.pdf,
